,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
CAG,42.75661,13.48851,15.19199,1.27593,1.53,7.13222,19.95172,1838.5,19.27472,-21.53846,2.07,2653.0,4.33183,-16.09352,7.11126,9.63558,0.4986,5.77741,7.32546,12.29929,12.12624,58.85729,5.80762,143.0564
CNMD,4.15698,5.15368,24.99708,2.11266,0.97,2.99655,24.24709,141.136,14.77714,-31.20567,1.58,528.908,11.62008,-29.94566,2.99655,4.68575,1.14284,3.83134,4.59303,4.16977,4.16977,52.75013,5.61991,111.64079
COP,-16.65816,9.06275,32.24448,2.40139,6.4,22.28329,-11.95681,13372.0,41.05997,20.30075,6.07,16182.0,8.21499,14.89532,22.07449,20.82405,1.94775,5.63191,8.08148,21.48536,21.62589,31.10836,1.18359,45.15549
ED,3.032,6.95465,54.12012,0.6795,4.08,11.4522,9.79602,4360.0,34.67473,-7.69231,4.09,6766.0,-4.50135,-2.822,10.68077,10.68526,0.52998,2.98663,4.27187,7.72994,8.21636,55.30881,5.16973,123.75776
STZ,9.10848,10.00062,66.01308,1.16442,17.57,42.62075,4.81217,2879.4,35.47807,52.12121,17.59,4103.4,5.47653,48.16939,42.33489,41.30269,0.43034,6.40243,7.12814,33.36295,33.10159,51.47295,4.72894,106.07064
CPS,-0.35511,5.42053,50.83269,1.66999,3.92,2.00145,0.0,192.703,6.19943,-33.44652,6.51,359.122,1.88554,-37.33738,2.17247,3.59093,1.29455,0.96864,1.47279,8.00277,7.16953,50.45177,4.62866,101.82355
CPA,0.0,106.76011,45.76843,1.23737,5.81,9.12319,42.63165,717.577,26.50421,180.67633,7.92,1046.29,14.46766,180.38141,9.12319,12.42758,0.99611,6.44636,8.47558,13.08417,13.08417,41.27557,1.89525,70.28688
CLB,1.87524,5.12557,4.00002,1.98252,2.11,14.10994,-11.60798,124.608,18.64803,17.22222,1.39,172.631,12.07818,28.23856,15.26212,9.22707,1.33697,8.95706,12.56697,56.27211,54.96968,67.70132,3.06388,209.61018
CNR,50.34765,12.9905,16.78167,0.86174,2.81,6.56889,-20.36837,394.91,27.7274,-47.76952,3.66,442.473,3.07042,-50.31835,5.33618,6.92241,0.64489,4.30406,8.44165,17.98555,16.64724,57.92442,1.9954,137.66753
CXW,3.76501,7.18445,11.55999,1.18051,1.59,9.53638,2.40432,427.196,21.56805,18.65672,1.6,557.92,1.82532,18.64177,9.53638,9.61508,1.08424,4.74495,5.29089,13.53145,13.53145,59.86762,4.80756,149.17534
GLW,-5.36083,6.09269,13.91995,2.11957,1.07,8.34565,3.89403,3255.0,28.29697,-5.30974,1.53,4423.0,2.4874,-9.94372,8.34565,10.32148,1.2221,3.88277,5.32419,8.68818,7.14206,38.83477,2.53518,63.49158
CMRE,31.50222,73.43096,11.84162,0.74003,0.59,20.70637,44.59892,313.262,65.52104,78.78788,0.61,342.487,29.35596,47.23449,20.70637,14.76769,0.6469,4.11941,4.18379,7.15349,7.15349,52.41443,4.96034,110.14774
CTRA,-42.51097,7.25198,5.40677,1.73228,1.63,32.96122,6.47413,1282.449,62.06569,31.45161,1.51,1333.0,14.82805,22.26525,32.96122,30.36506,1.68459,12.61669,16.30414,32.12863,32.12863,36.85678,0.97924,58.37014
COTY,-24.40104,6.41295,6.08168,0.94122,-5.04,-43.58675,-3.74278,1332.2,15.40383,235.22905,0.2,3798.8,4.19567,235.22905,-43.75557,1.73718,0.44336,1.84946,2.50507,-56.32717,-51.77418,60.30184,5.75267,166.84155
CUZ,0.0,38.92852,29.69132,0.57764,1.17,22.78235,0.0,0.0,0.0,53.94737,1.59,448.035,57.5079,90.00808,22.44438,30.38215,0.57764,1.64597,1.75371,4.22727,4.21253,34.1088,38.92852,51.76534
CXT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,449.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CRDb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274.57455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAP,0.0,310.04224,99.6117,1.10522,16.16,24.48063,3.08168,2786.401,51.9209,9.18919,16.2,3789.4583,49.138,9.17196,23.99112,23.99499,1.10522,3.03036,9.48745,17.19291,17.22197,54.71327,3.50061,120.81523
CCI,0.0,0.0,25.21394,0.62708,1.79,14.92278,4.38944,3163.0,54.88461,33.58209,1.82,3777.0,6.03852,28.16692,14.92278,13.1376,0.54323,2.79154,3.14995,7.63664,7.63664,69.52644,7.56592,228.1533
CCK,-5.50523,8.35901,12.63479,1.02642,3.78,5.35791,4.98442,1685.0,14.44492,15.2439,3.76,1984.0,5.57758,16.17312,4.37205,4.31564,0.56809,4.85504,7.37837,38.49057,37.00414,79.62404,4.85163,171.14333
CUBE,12.58815,108.6477,9.29621,0.48633,0.88,26.07044,0.0,0.0,0.0,0.0,0.89,456.798,33.60625,3.18996,25.81793,25.93409,0.44551,3.90605,4.12639,9.63898,9.37866,51.41299,38.80718,109.45148
CFR,0.0,102.61314,60.11237,0.62749,6.84,29.75204,-1.45573,684.728,45.92448,-0.86957,6.8,1334.148,6.52964,-2.48814,29.75204,28.61498,0.62746,1.18862,7.0808,12.68946,12.18581,36.51394,3.28567,57.5149
CULP,-9.71605,11.85301,12.90719,3.50207,0.45,1.83976,-34.3724,23.622,7.96241,-72.72727,0.6,48.277,4.78593,-72.81219,1.91324,2.52039,1.9759,4.3205,5.76039,3.51119,3.33188,0.40928,0.02858,0.41097
CMI,0.0,410.4938,49.8804,1.49952,14.48,9.62199,0.0,3174.0,13.4657,10.11407,15.13,5980.0,7.2918,5.55815,9.58805,9.97498,0.8516,8.07044,14.1891,30.42747,27.1227,25.30663,0.90359,33.88069
CWK,0.0,127.47612,5.91809,1.23172,0.0,0.00229,60.07101,495.9,5.66678,127.47612,0.6,1769.3,4.40721,127.47612,0.00229,1.49263,1.19793,1.81627,2.90183,0.01503,0.01503,71.31552,6.5241,248.6206
CUBI,0.0,40.360977,26.65616,1.05373,2.05,14.56404,9.61441,213.291,39.15917,15.16854,2.08,288.367,21.87673,10.64509,14.56404,11.90847,1.0035,1.11461,4.41453,10.07539,7.89476,61.95035,8.03645,162.81451
DKS,-36.82932,172.03972,20.29027,1.41057,3.24,3.7914,-7.30754,674.333,7.99298,7.6412,3.27,2437.782,3.96792,-1.10714,3.7914,3.7885,0.10485,6.62508,13.99943,16.63506,16.63506,3.05691,0.08904,3.15331
DNOW,-23.23652,6.92723,10.47542,2.69444,-0.89,-3.28702,-24.5614,86.0,2.91427,29.499079,0.03,586.0,7.23907,29.499079,-3.28702,0.11059,1.39647,1.66125,2.19555,-8.22731,-8.22731,5.92105,0.83721,6.29371
DHI,0.0,260.4482,27.19885,5.01021,4.29,9.19111,1.28805,2123.2,12.05644,12.59843,4.34,3650.6,-0.89797,10.83339,9.19054,9.1825,0.59113,8.65165,9.86831,17.03209,16.64028,24.8231,1.60107,33.01959
DTE,-8.21688,7.38502,60.72556,0.77208,6.31,9.25093,10.2583,2988.0,23.58513,2.26904,6.42,3019.0,-4.96389,4.375,9.22725,9.37485,0.49537,2.75841,3.96304,10.67141,10.3933,59.80985,5.89491,148.81717
DXC,-23.31146,4.97376,42.47742,0.95906,4.35,5.9124,-15.18962,4249.0,20.47415,-27.98013,6.59,5807.0,17.11018,-28.21245,6.05696,8.81313,0.85476,4.49051,6.89491,9.8196,9.60019,38.73125,1.74441,63.21535
DVA,-3.39017,6.23308,16.95294,1.55566,4.6,8.04156,11.98409,2370.682,20.81649,27.07182,5.41,3473.994,45.54305,408.79016,7.12107,7.27673,1.48618,6.02502,7.36113,24.21964,21.46602,76.15343,4.71423,284.9612
DAN,3.56808,7.95203,13.0121,1.71382,1.56,2.70302,4.67391,963.0,11.17169,-46.39175,2.87,1144.0,0.48434,-47.0726,2.62181,4.79443,0.99621,5.93698,9.7354,14.04599,12.67338,54.44848,2.65005,129.6748
DHR,-8.48919,5.23716,41.22358,5.1898,3.26,13.57985,-4.80184,4551.9,25.41385,-12.83423,3.44,9984.0,17.53284,13.47844,16.79517,13.73227,4.73971,3.8239,4.63014,8.55158,8.31433,42.6565,4.9487,74.38767
DRI,-0.49875,212.76,19.43939,0.60552,5.73,8.44379,6.31522,1171.7,13.76786,19.62422,5.82,1849.0,5.75972,19.69799,8.38269,8.44578,0.37012,9.153,15.31574,31.32929,31.32929,31.55395,0.94137,46.10048
