idx,symbol,industry_id
440,GD,241
441,GE,56
442,GIS,79
443,GM,133
444,GCO,196
445,GNE,50
446,G,226
447,GPC,285
448,GNW,104
449,GEO,74
450,GTY,171
451,GBCI,247
452,GKOS,253
453,GBLI,68
454,GIC,279
455,GPN,210
456,GLOB,214
457,GL,104
458,GDDY,213
459,GS,204
460,GRC,167
461,GGG,167
462,EAF,53
463,GHC,219
464,GVA,84
465,GPK,151
466,GTN,256
467,GRBK,146
468,GDOT,67
469,GBX,169
470,GEF,116
471,GFF,113
472,GPI,179
473,GNTY,136
474,GES,288
475,GWRE,238
476,GPOR,45
477,HRB,237
478,FUL,2
479,HASI,99
480,HCA,224
481,HEI,11
482,DINO,159
483,HNI,141
484,HPQ,38
485,HAE,253
486,HAL,144
487,HBI,177
488,THG,68
489,HOG,134
490,HIG,68
491,HVT,188
492,HE,52
493,HCI,68
494,HR,173
495,DOC,173
496,HL,119
497,HLIO,123
498,HLX,144
499,HP,49
500,HLF,271
501,HRI,233
502,HRTG,68
503,HSY,251
504,HES,156
505,HPE,38
506,HXL,161
507,HIW,173
508,HTH,247
509,HGV,87
510,HLT,86
511,HOMB,247
512,HD,192
513,HTB,200
514,HMN,68
515,HRL,109
516,HLI,98
517,HHH,173
518,HWM,198
519,HUBS,238
520,HUBB,57
521,HPP,171
522,HUM,85
523,HII,241
524,HUN,30
525,H,86
526,HY,95
527,IEX,167
528,IQV,212
529,ITT,167
530,IDA,52
531,ITW,75
532,IMAX,158
533,IRT,173
534,IR,75
535,NGVT,30
536,INGR,79
537,VATE,63
538,IIPR,171
539,INVX,143
540,NSP,225
541,INSP,253
542,IBP,74
543,IIIN,249
544,ICE,203
545,IFS,34
546,IBM,38
547,IFF,94
548,IGT,231
549,IP,150
550,INSW,267
551,IPG,207
552,IPI,119
553,IVZ,98
554,INVH,174
555,IRM,173
556,SJM,27
557,JBGS,173
558,JBTM,244
559,JELD,118
560,JPM,136
561,JBL,166
562,J,84
563,JHG,98
564,JEF,204
565,WLY,21
566,JNJ,157
567,JCI,8
568,JLL,172
569,JNPR,39
570,KBH,146
571,KBR,84
572,KKR,98
573,KREF,173
574,KAI,244
575,K,79
576,KMPR,68
577,KMT,106
578,KW,171
579,KEY,136
580,KEYS,93
581,KFRC,225
582,KRC,173
583,KMB,44
584,KIM,173
585,KMI,139
586,KFS,68
587,KNSL,68
588,KEX,267
589,KRG,173
590,KNX,263
591,KN,89
592,KSS,183
593,KOP,105
594,KFY,220
595,KOS,45
596,KR,189
597,KRO,92
598,LHX,202
599,LCII,132
600,LXP,173
601,LZB,90
602,LH,228
603,LADR,173
604,LW,26
605,LVS,86
606,LAZ,98
607,LEA,132
608,LEG,90
609,LDOS,213
610,LC,155
611,LEN,74
612,LII,8
613,LNC,104
614,LNN,64
615,LAD,179
616,LYV,208
617,LOB,247
618,LMT,80
619,L,68
620,LPX,105
621,LOW,192
622,LUMN,255
623,LYB,94
624,MTB,247
625,MHO,146
626,MBI,252
627,MDU,119
628,MFA,173
629,MTG,252
630,MGM,86
631,MRC,279
632,MSA,148
633,MSM,279
634,MSCI,210
635,MAC,173
636,M,183
637,MAGN,150
638,MTW,42
639,MAN,225
640,MPC,156
641,MMI,172
642,MPX,241
643,HZO,178
644,MKL,68
645,VAC,172
646,MMC,96
647,MLM,119
648,MTZ,268
649,MAS,82
650,MA,210
651,MTDR,45
652,MTRN,114
653,MATV,150
654,MATX,267
655,MMS,210
656,MKC,124
657,MCD,185
658,MCK,271
659,MPW,173
660,MED,124
661,MDT,55
662,MRK,157
663,MCY,68
664,MTH,146
665,MET,104
666,MTUS,250
667,MEI,59
668,MCB,247
669,MTD,100
670,MAA,173
671,MTX,92
672,MOD,132
673,MC,98
674,MHK,28
675,MOH,85
676,TAP,107
677,MCO,217
678,MOGA,120
679,MS,204
680,MOS,3
681,MSI,168
682,MOV,265
683,MLI,198
684,MWA,123
685,MUR,45
686,MUSA,179
687,MYE,163
688,VYX,25
689,NL,92
690,NNN,173
691,NPKI,233
692,NRG,52
693,NUS,271
694,NVR,146
695,NBR,49
696,NBHC,136
697,NFG,137
698,NSA,173
699,NGVC,189
700,NNI,155
701,NJR,137
702,NYT,140
703,NEU,94
704,NEM,78
705,NEE,52
706,NI,50
707,NIC,136
708,NKE,199
709,NINE,144
710,NOAH,98
711,NE,49
712,NAT,267
713,JWN,187
714,NSC,170
715,NOC,202
716,NWN,137
717,NCLH,267
718,NOV,143
719,NUE,250
720,OI,77
721,OFG,247
722,OGE,52
723,OGS,137
724,OKE,138
725,OUT,173
726,OXY,45
727,OII,144
728,OIS,143
729,ODC,125
730,ORI,252
731,OLN,30
732,OHI,173
733,OMC,207
734,OMF,155
735,ONIT,130
736,ONTO,108
737,KAR,179
738,OPY,204
739,ORCL,238
740,ORC,173
741,ORA,52
742,OSK,133
743,OVV,45
744,OMI,283
745,OC,0
746,PBF,156
747,PCG,50
748,PJT,98
749,PNC,136
750,PPG,149
751,PPL,52
752,PRG,222
753,PVH,111
754,PKG,151
755,PARR,45
756,PGRE,173
757,PKE,12
758,PK,86
759,PH,123
760,BTU,19
761,PEB,173
762,PFSI,130
763,PMT,173
764,PAG,179
765,PNR,244
766,PFGC,277
767,PR,45
768,PRGO,157
769,PFE,157
770,PM,31
771,PSX,156
772,PDM,145
773,PNW,52
774,PIPR,204
775,PBI,142
776,PLNT,229
777,PLYM,173
778,PII,128
779,POR,52
780,POST,79
781,PBH,157
782,PRI,104
783,PRMB,17
784,PRIM,268
785,PRA,68
786,PUMP,144
787,PG,243
788,PGR,68
789,PLD,173
790,PB,247
791,PRLB,63
792,PFS,200
793,PRU,104
794,PEG,50
795,PSA,173
796,PHM,146
797,PSTG,40
798,PRSU,231
799,QGEN,18
800,QUAD,35
801,KWR,127
802,NX,198
803,PWR,54
804,DGX,228
805,RBC,16
806,REVG,133
807,REX,94
808,RH,188
809,RLJ,173
810,RPM,149
811,RTX,11
812,RDN,252
813,RL,111
814,RRC,45
815,RNGR,144
816,RJF,204
817,RYN,173
818,RMAX,172
819,O,173
820,RWT,173
821,RRX,76
822,RM,155
823,RF,136
824,RGA,104
825,RS,284
826,RNR,68
827,RNST,247
828,RSG,176
829,RMD,253
830,QSR,185
831,RVTY,100
832,REXR,173
833,RHI,225
834,ROK,108
835,ROG,161
836,ROL,240
837,RCL,267
838,R,209
839,RHP,173
840,SPGI,217
841,SFL,47
842,SLG,173
843,SM,45
844,SPXC,117
845,STAG,173
846,SAFE,173
847,CRM,238
848,SBH,195
849,SD,45
850,BFS,173
851,SLB,144
852,SNDR,263
853,STNG,47
854,SMG,3
855,SDRL,49
856,SEE,160
857,WTTR,144
858,SRE,71
859,ST,93
860,SXT,94
861,SRG,171
862,SCI,237
863,NOW,238
864,SFBS,247
865,SHAK,186
866,SHW,180
867,SIG,191
868,SLGN,112
869,SPG,173
870,SSD,46
871,SPNT,68
872,SITC,173
873,SITE,287
874,SKX,70
875,SMBK,136
876,SW,151
877,SNA,46
878,SGI,90
879,SAH,179
880,SON,151
881,SSB,247
882,SO,52
883,SCCO,115
884,SBSI,247
885,LUV,7
886,SWX,138
887,SPB,122
888,SR,137
889,SPR,12
890,JOE,101
891,SMP,132
892,SXI,175
893,SWK,46
894,STWD,173
895,STT,247
896,SCS,141
897,STEL,136
898,SCL,243
899,STC,258
900,SF,204
901,SRI,132
902,SYK,253
903,INN,173
904,SUI,173
905,SXC,250
906,SHO,86
907,SYF,67
908,SNV,136
909,SYY,276
910,SNX,270
911,TEL,274
912,TJX,187
913,TRTX,173
914,TXNM,52
915,TALO,45
916,SKT,173
917,TPR,103
918,TRGP,139
919,TGT,197
920,TMHC,146
921,TISI,234
922,FTI,143
923,TECK,119
924,TK,47
925,TNK,267
926,TGNA,256
927,TRC,171
928,TDY,202
929,TFX,253
930,THC,224
931,TNC,175
932,TDC,238
933,TEX,95
934,TRNO,171
935,TTI,45
936,TXT,10
937,TMO,108
938,THR,53
939,THO,131
940,TDW,267
941,TKR,16
942,TWI,250
943,TOL,146
944,TR,251
945,BLD,41
946,MODG,246
947,TTC,102
948,TT,15
949,TDG,12
950,TRU,217
951,RIG,49
952,TNL,86
953,TRV,68
954,TG,198
955,THS,26
956,TREX,105
957,TPH,146
958,TRN,169
959,TSE,161
960,TRTN,264
961,TGI,10
962,TROX,92
963,TBI,225
964,TFC,136
965,TPC,73
966,TWLO,238
967,TWO,173
968,TYL,238
969,TSN,164
970,UDR,173
971,UGI,71
972,UMH,173
973,USB,136
974,USFD,276
975,USNA,110
976,UAA,13
977,UNF,237
978,UFI,257
979,UNP,170
980,UIS,213
981,UCB,247
982,UNFI,277
983,UPS,262
984,PRKS,231
985,URI,222
986,X,250
987,UNH,85
988,UTL,50
989,UVV,275
990,UHT,173
991,UHS,224
992,UVE,68
993,UNM,1
994,UE,171
995,VVX,223
996,VFC,111
997,VICI,173
998,MTN,231
999,VLO,156
1000,VHI,92
1001,VMI,63
1002,VVV,127
1003,VEEV,238
1004,VTR,173
1005,VRE,173
1006,VZ,255
1007,VNCE,177
1008,VIPS,181
1009,SPCE,260
1010,VRTS,98
1011,V,210
1012,VSH,57
1013,VPG,57
1014,VST,52
1015,VTLE,45
1016,VNO,173
1017,VOYA,104
1018,VMC,119
1019,WRB,68
1020,WTI,45
1021,WEC,50
1022,WEX,210
1023,WPC,173
1024,GWW,272
1025,WNC,261
1026,WD,67
1027,WMT,197
1028,DIS,231
1029,HCC,242
1030,WM,176
1031,WAT,100
1032,WSO,278
1033,WTS,123
1034,W,181
1035,WBS,136
1036,WMK,189
1037,WFC,136
1038,WELL,173
1039,WCC,273
1040,WST,253
1041,WAL,247
1042,WU,210
1043,WAB,169
1044,WLK,94
1045,WHG,98
1046,WY,173
1047,WHR,88
1048,WTM,68
1049,WSR,173
1050,WMB,139
1051,WSM,190
1052,WGO,131
1053,WT,204
1054,WOLF,205
1055,WWW,70
1056,WK,238
1057,WKC,286
1058,WOR,249
1059,WH,86
1060,XPO,260
1061,XHR,86
1062,XYL,167
1063,YELP,237
1064,YEXT,214
1065,YUMC,185
1066,YUM,185
1067,ZBH,148
1068,ZTS,157
1069,ZWS,75
